 ****** HSPICE -- P-2019.06-SP1-1 win64 (Sep 27 2019) ******
  Copyright (c) 1986 - 2025 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
4
#Number of plot points
100
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
power_avg,tpd_max_cout,tpd_max_s8,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-0.0001615393,2.392128e-09,2.610199e-10,-2.575829,-4.421625,-1.687237
-0.0001357046,2.404978e-09,2.784417e-10,-2.17009,-3.066998,-1.53326
-0.0001338655,2.405744e-09,2.799483e-10,-1.959964,-2.63727,-1.419425
-0.0001325582,2.406641e-09,2.810161e-10,-1.811911,-2.385831,-1.326787
-0.0001312903,2.407646e-09,2.821554e-10,-1.695398,-2.207206,-1.247538
-0.0001295439,2.408421e-09,2.836535e-10,-1.598193,-2.067749,-1.177617
-0.0001275083,2.409777e-09,2.854498e-10,-1.514102,-1.952672,-1.114608
-0.0001264998,2.41044e-09,2.863924e-10,-1.439531,-1.854204,-1.056949
-0.0001251686,2.411339e-09,2.877404e-10,-1.372204,-1.767773,-1.003563
-0.0001251561,2.411765e-09,2.877528e-10,-1.310579,-1.690461,-0.9536756
-0.0001250129,2.411774e-09,2.878901e-10,-1.253565,-1.620293,-0.906707
-0.0001159764,2.418074e-09,2.967192e-10,-1.200359,-1.555873,-0.862212
-0.0001154719,2.418497e-09,2.973e-10,-1.150349,-1.496174,-0.8198403
-0.0001147683,2.418956e-09,2.980489e-10,-1.103063,-1.440422,-0.7793106
-0.000114087,2.419797e-09,2.988186e-10,-1.058122,-1.388017,-0.7403934
-0.0001136541,2.419953e-09,2.99312e-10,-1.015222,-1.338483,-0.7028985
-0.0001125466,2.420891e-09,3.005864e-10,-0.9741139,-1.291439,-0.6666664
-0.0001125441,2.420893e-09,3.005893e-10,-0.9345893,-1.246573,-0.6315617
-0.0001118835,2.421161e-09,3.013432e-10,-0.8964734,-1.203627,-0.5974685
-0.000110792,2.422439e-09,3.026226e-10,-0.8596174,-1.162385,-0.5642865
-0.000110535,2.422616e-09,3.029701e-10,-0.8238936,-1.122663,-0.5319284
-0.0001096902,2.423416e-09,3.039584e-10,-0.7891917,-1.084305,-0.5003172
-0.0001093386,2.423664e-09,3.043537e-10,-0.755415,-1.047176,-0.4693852
-0.0001083276,2.424437e-09,3.056222e-10,-0.7224791,-1.011159,-0.4390719
-0.0001078755,2.424976e-09,3.061775e-10,-0.6903088,-0.976152,-0.409323
-0.0001066077,2.425735e-09,3.077652e-10,-0.6588377,-0.9420646,-0.38009
-0.0001065455,2.425789e-09,3.078448e-10,-0.628006,-0.9088169,-0.3513285
-0.0001062916,2.426177e-09,3.081598e-10,-0.5977601,-0.8763377,-0.3229984
-0.0001056127,2.42687e-09,3.090076e-10,-0.5680515,-0.8445633,-0.2950631
-0.0001052979,2.426883e-09,3.094545e-10,-0.538836,-0.8134364,-0.2674886
-0.000105185,2.427047e-09,3.096334e-10,-0.5100735,-0.7829051,-0.2402438
-0.0001039066,2.428532e-09,3.112877e-10,-0.4817268,-0.7529222,-0.2132998
-0.0001031433,2.429273e-09,3.123261e-10,-0.4537622,-0.7234447,-0.1866296
-0.0001028836,2.429552e-09,3.126891e-10,-0.426148,-0.6944332,-0.160208
-0.0001016752,2.430715e-09,3.143583e-10,-0.3988551,-0.6658514,-0.1340113
-0.0001015801,2.430807e-09,3.144969e-10,-0.3718561,-0.6376659,-0.1080172
-0.0001013319,2.431008e-09,3.14809e-10,-0.3451255,-0.6098454,-0.08220445
-0.0001010126,2.431199e-09,3.152708e-10,-0.3186394,-0.5823611,-0.05655286
-0.0001001246,2.432004e-09,3.16542e-10,-0.2923749,-0.555186,-0.03104317
