 ****** HSPICE -- P-2019.06-SP1-1 win64 (Sep 27 2019) ******
  Copyright (c) 1986 - 2025 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
3
#Number of samples in each tail
4
#Measure names
power_avg,tpd_max_cout,tpd_max_s8
#Measure values in left tail
-1.6153930e-04,2.3921280e-09,2.6101990e-10
-1.3570460e-04,2.4049780e-09,2.7844170e-10
-1.3386550e-04,2.4057440e-09,2.7994830e-10
-1.3255820e-04,2.4066410e-09,2.8101610e-10
#Measure values in right tail
-6.1196990e-05,2.4950640e-09,4.0487110e-10
-5.7270110e-05,2.5056340e-09,4.1948910e-10
-5.5822990e-05,2.5098620e-09,4.2551700e-10
-4.6474780e-05,2.5429900e-09,4.7209270e-10
#Index values in left tail
11,11,11
47,47,47
73,73,73
49,49,49
#Index values in right tail
45,45,45
10,10,10
32,32,32
38,38,38
